"Co-design activity 1 Group Reflection_Group 2","Co-design activity 1 Group Reflection_Group 2","6","[ -
COLLINTERACTIVE CLASS
Technology Supported Learning
Mobile Technology
Augmented Reality
Seemless Technology (OLED)
Human Factors
Teachers
Students
Collinteractive Class is A class environment (virtual) which facilitate collaborative, constructive and interactive learning supported by ICT enhancement (reach media).- ]","2017-10-03 13:39:52"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","有點像繪圖板的使用
好處在於可以一支筆隨處使用，不用再限定於一個面板配一支筆。","2017-09-19 15:13:11"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","優點:
用一個面板畫畫使畫出來的東西能夠移動，可以節省老師準備教材的時間。
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c0c49480921b270a948972/1/擷取.PNG
建議 :
可以變成立體顯示，這樣老師在教空間概念的時候，學生比較可以想像","2017-09-19 15:14:02"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","3","像現在的線上翻轉式平台，學生加入課程後，可以看到老師的影片、教材、留言版等等的功能(ex:磨課師)
http://taiwanmooc.org/","2017-09-19 15:15:58"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","4","在桌面上點擊觸碰加熱，會不會造成有誤觸的危險？
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c0c6d280921b270a948d8f/1/擷取.PNG","2017-09-19 15:16:28"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","3","可以透過穿戴式眼鏡實現
https://www.youtube.com/watch?v=Qe232PnC8xk","2017-09-19 15:17:10"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","這報紙有一個好處是可以在同一個頁面查看很多事情，而且可以在同一個區塊更新。","2017-09-19 15:24:37"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","我認為MR混合實境是把VR虛擬實境+AR擴增實境結合在一起，科技的改變是為了讓生活更便利，也能解決一些不能到學校上課的學生，方便她們可以在家體驗真實上課的情況，所以如果可以把MR加上人工智慧可以更有實際體驗的感覺。
未來科技趨勢:
http://www.cw.com.tw/article/article.action?id=5079771 (Link->http://www.cw.com.tw/article/article.action?id=5079771)","2017-09-19 16:13:52"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","4","若是使用影片上課，並不知道學生是否有正在關注在課堂上","2017-09-19 16:14:50"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","可以透過安全機制改善，或是開啟開關會有聲音提示，就知道開關已開啟要小心。","2017-09-19 16:17:49"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3",,"隨時隨地都可以看的影片應該可以用於自主學習或課後複習的課程上，學生的專心度就要自行掌控。","2017-09-19 16:18:39"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","可以把自己想像的畫面投影出來，讓別人清楚明白。","2017-09-23 22:41:01"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","3D教材，ex. 看見化學鍵、重力現象","2017-09-23 22:41:59"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","影音教材， 談到蜜蜂如何擔任花粉傳播的媒介、DNA結構是如何、慧星撞地球的模擬影音等。","2017-09-23 22:42:41"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","老師教學評量網路平台，老師每堂課可現場了解學生學會了沒？長期追蹤記錄。","2017-09-23 22:43:13"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","新教師教學訓練技術，新手教師透過軟體練習、體驗各種學生反應及對應方針。","2017-09-23 22:43:36"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","增加各國最新消息的課程","2017-09-23 22:43:59"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","即時回饋，當學生遇到問題，不會有找不到解答的時候。","2017-09-23 22:44:20"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","課桌椅透過模式切換可自動化移動，模式1:個人座椅，模式2:小組討論。","2017-09-23 22:44:38"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","可縮小放大之筆電，大的用途為方便觀看，小的用途使攜帶方便。","2017-09-23 22:45:09"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","學習同伴(機器人)，幫助學習者學習。","2017-09-23 22:45:45"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","如果將授課內容錄起來或是透過直播，讓學生能在課後複習課程。
再結合教學評量網路平台，老師能透過此平台了解學生學習進度。","2017-09-25 16:28:15"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","現在有類似的概念不過是手機＋投影 可以作爲團體討論及個人使用方便
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c8bef36517c41deebbe677/1/2012070504200554140.jpg","2017-09-25 16:30:42"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","想像的畫面感覺有點抽象，投影出來的未必跟作者所想表達的完全相同。","2017-09-25 16:32:36"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","也許可以將線上教學平台整合成一個學習同伴不僅可以幫助學習，也可以同時收集使用者的學習資料","2017-09-25 16:34:09"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","可以增加一個屬於自己的人物角色，或是虛擬角色指導員。","2017-09-25 16:34:21"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","椅子設計上會需要輕薄化才方便控制移動。
另外會需要有個軌道或是類似磁浮列車的方式進行移動","2017-09-25 16:37:23"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","如果是立體影像投影的話，會需要有3D教材，那麼首先教師就需要擁有這些教材才行。","2017-09-25 16:40:54"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","3","變形金剛的概念?!","2017-09-25 19:49:43"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","3","讓筆電or手機薄到跟紙一樣可以摺疊，類似摺紙一樣。
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c92f906517c41deebbf526/1/0GflDEsLlx.jpg
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c92fb06517c41deebbf531/1/0914-2a.jpg","2017-09-26 00:24:16"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","可以建立一個資料庫，記錄學生評量，再透過大數據分析後，讓學生更加清楚自己不足的地方，然後加強，可以節省更多時間，對症下藥。","2017-09-26 00:35:14"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","3","能夠使用立體影像做實驗，投射影像能夠直接互動
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c0c3a380921b270a9486b9/1/3.PNG","2017-09-26 10:34:48"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","一個軟體可以馬上讓學生提問，電腦能馬上解答","2017-09-26 10:50:53"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","3","類似擴增實境應用
Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59c0c07b80921b270a947e73/1/1.PNG","2017-09-27 17:30:20"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","2","除了減少城鄉差距、能夠學習除了本地以外的知識以外，我們想在未來教室中，學生可以一起共同學習更多國際化的知識，並且增加國際間的交流，因而使用多人視訊進行遠距離教學，當然，若學生有問題提出，教師亦能即時回答。
學生除了有人工智慧學習同伴一同學習之外，記筆記不再僅限於紙本及文書打字，使用電子墨水能寫能畫，同儕之間亦能及時共享筆記。而且上課不再需要攜帶厚重的書本電腦，只要帶著薄薄的可捲式筆電(OLED)，移動自如。
若上課的實體教室，需要面對面進行小組討論的話，可以透過自動化課桌椅改變教室，不再需要搬動桌椅。
教師在教材的使用上，藉由VR、AR，教材不再只是死板的平面紙張，透過立體投影、虛擬教材、使學生更易於理解授課內容，並能深入其境。
另外教師還能使用教學平台所提供的學生數據分析(包含教學品質的數據化等)，分析學生在學習上的狀況，並對於教材做些微調整。","2017-10-02 17:48:14"
"Co-design activity 1_Group 3","Co-design activity 1_Group 3","1","Image -> https://kf6.ikit.org//attachments/599c26851226781b09026d59/59d328024848b42f3d4e3e88/1/22172055_1631327113554919_1807450729_o.jpg","2017-10-03 14:02:02"
"Co-design activity 1_Group 3, riseabove:","Co-design activity 1_Group 3, riseabove:","1","1.需要透過太多手勢進行操作，對於部分使用者初次使用上，可能會有過多資訊。
2.宗旨建立在資料的虛擬化與雲端技術應用，然而需要大量的面板設備，特別是對於經濟較不發達的地區。","2017-09-19 14:50:32"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","5","Thermal power plant need more tree.
Information security problem.
More convenient.","2017-09-19 14:45:56"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","Video[A Vison of Students Today]
https://www.youtube.com/watch?v=dGCJ46vyR9o
Article[Trend of Future Classroom]
http://www.huayuworld.org/oldindex/wp-course/99_huayu_seed_plan_digital_course/10/BaiShengqiu.pdf","2017-09-19 14:51:27"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","[ -I think the future classroom will appear in any place you want.- ]","2017-09-19 14:51:45"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","Hi guys,
I found some video in you.
https://www.youtube.com/watch?v=mHb0gcIGueQ (Link->https://www.youtube.com/watch?v=mHb0gcIGueQ)
this technology is very promising.
One Idea which came up when I saw this video is to build smart class, smart campus.
Science teacher and learner no need to do physic experiment, they can build many simulations to stimulate learners.","2017-09-19 14:55:05"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","Protecting Earth.
Informantion War.","2017-09-19 14:56:20"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","According to the Microsoft Future Classroom, I can link some theories with my expeience as follow,
Situated learning
Remote Activity
Seamless Learning
With my imagination, the classroom size in the future will be unlimited.
Students will learn with others from any country, in any time and place.","2017-09-19 14:57:13"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","what you want to learn in toilet?","2017-09-19 14:58:21"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","The tiles of the toilet will appear English words that I want to recite,understand?","2017-09-19 15:03:22"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","3","The idea in this video is to build the smart board. no need to bring heavy latop or ordinary books to class.","2017-09-19 15:04:11"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","5","what else? something special?","2017-09-19 15:08:01"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","Agree!!!!
You can learn whereever and whatever you want. But again you need to consider may things before you conduct ubiquitous learning. if you wanna use technology on it, you need to decide what kind of technology you use or not? offline or online.","2017-09-19 15:09:20"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","[ -ubiquitous- ] not beLimited in toilet","2017-09-19 15:09:58"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","4","but in that video, i think there is nogroup anymore. everybody learn by themselves using technology. it will let our distance more far away.","2017-09-19 15:13:20"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","4","I also think information security problemis important.","2017-09-19 15:13:33"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","5","So doyou think use network more is good for our earth?
But when we are using technology resourse, we are also manufaturing something harmful, don't we?
How learning system make information war?","2017-09-19 15:16:48"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","4","Sure Security problem is important. This security topic is to wide.","2017-09-19 15:17:23"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","There is a part of the video, students from different countries through the big screen communication.","2017-09-19 15:20:07"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","and your classmate's age maybe from 5 years to 80 years old.
so when they are change experience can make different thinking.","2017-09-19 15:20:12"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","Science and technology have been directly or indirectly affect the human thinking mode and life patterns, accompanied by the results of the social system structure and the rapid changes in production methods, the entire social system and cultural aspects have had an impact.
Negative impact is to destroy the original nature of the ecological, and rest cycle.","2017-09-19 15:21:46"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","5","can you give me more example?
how about math teacher?","2017-09-19 15:25:07"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","Programming is more important now😂😂😂","2017-09-19 15:25:41"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","5","how we prevent technology to bring the gap between person to person or comunity, sociality? again train the person. use the technology at right place , the right time.","2017-09-19 15:27:15"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","Sure I'll explain F2. it's difficult to explain by words.","2017-09-19 15:28:54"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","3","your best teacher is here:
https://www.google.com.tw/","2017-09-19 15:31:33"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","5","maybe the ''group'' is personal idea?","2017-09-19 15:31:41"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","3","I think isthe whole universe, including aliens👽👾👽👾👽","2017-09-19 15:32:34"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4",,"Be a family 😆🙌🙌🙌🙌🙌","2017-09-19 15:34:40"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4",,"Keep ⚡⚡⚡⚡⚡⚡ power on","2017-09-19 15:36:52"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","If our mind are good and kind,we will use the technology to improve our environment ,earth and life
But if we are bad guys,someone maybe will use technology to be the crime and destroy and break something","2017-09-19 16:10:04"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","4","About internet addiction,we need to prevent it.
3C products have already impacted our life somuch","2017-09-23 16:01:45"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","In my opinion, sure network would have harm effects but the things we need to do now is how we prevent it? maybe you can build a strong protection/ security system for network.","2017-09-26 13:23:40"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","I think, train the people to use the right of the network learning from the beginning should be reduce network violation.","2017-09-26 13:32:04"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","Yeah! If they want to learn ,they can learnanywhere!","2017-09-26 13:34:20"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","6","1. Augmented Reality (AR)
2. 3D Printing
3. Cloud Computing
4. Online Social Networking
5. Flexible Displays
6. Biometrics: Eye Tracking
7. Multi-Touch LCD Screens
8. Game-Based Learning","2017-09-26 13:34:21"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","yes. I also think maybe in the future, we just wear glass to see and we know the information about the object.","2017-09-26 13:34:43"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","Google can answer your questions but not at all. you need human to teach you. so Google is not a best teacher. it just one of good way to learn. the other reason is some times google does not always provide the truth.","2017-09-26 13:54:53"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","3","1.The interactive interface is ubiquitous
2.Information transfer becomes easy
3.Earth Village Classroom
VR ( Virtual Reality ) 虛擬實境
AR ( Augmented Reality ) 擴增實境
SR ( Substitutional Reality ) 替代實境
MR ( Mixed Reality ) 混合實境
the four point will make the learning happen anywhere","2017-09-26 14:17:08"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","one part:
refine our design
Design for future learning
make some summary note
second part:
the number of the paper up to our group member.
note something member's question
knowledge building
discuss each other
group view
write down everything what you understood!","2017-09-26 16:44:23"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","Future classroom is the way we learn in the future.
In my opinion, I would like to have class room which provide supervision (ex. white board, books, and even the equipment for doing physical experiment).
every news about students improvement and achievement should be update every seconds. students can check it directly.","2017-10-03 12:57:28"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","AI thinking:
How to design robot thinking will be one of based education subjects for everyone and implement from childhood.","2017-10-03 13:07:56"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","Maybe we can apply some technologies to support your ideas:
1. Augmented Reality (AR)
2. 3D Printing
3. Cloud Computing
4. Online Social Networking
5. Flexible Displays
6. Biometrics: Eye Tracking
7. Multi-Touch LCD Screens
8. Game-Based Learning","2017-10-03 13:08:09"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","AR lets student scout the night sky for constellations .","2017-10-03 13:21:52"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","3D Printing can apply in many subjects.
For Department of Medcine students, they can practice surgery with organs which made of 3D printing again and again.
For industrial design students, they can easily implement products with this technology.
Not only for specific learners. In future classroom, students' thinking will not limited by textbooks. They can create what they want, even actually present it.","2017-10-03 13:23:29"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","Using this technology, a teacher can design an activity to let all the students join the activity at the same time. For example, a teacher gives one question show on the LCD, students can answer the question at the same time and also see other students' answer.","2017-10-03 13:27:59"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","2","Note-taking on memo pads is still very much alive during the lectures. therefore, in future classroom we may use paper thin smartphones--&gt;e-papers are not only durable('unbreakable'), but also provides interactivity. with swipes, taps and pinching, these flexible paper-thin display can take over paper-centric indudtries. By using this technology students can take note easier without carry out heavy tablet, laptop and traditional note book.","2017-10-03 13:31:29"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","Educational game:
All types of games may be used in an educational environment. Educational games aregames that are designed to help people to learn about certain subjects, expand concepts, reinforce development, understand a historical event or culture, or assist them in learning a skill as they play.
Game-based learning (GBL) is a type ofgame play (Link->https://en.wikipedia.org/wiki/Game_play)
that has defined learning outcomes. Generally, game-based learning is designed to balance subject matter with gameplay and the ability of the player to retain, and apply said subject matter to the real world.Asystematic review (Link->https://en.wikipedia.org/wiki/Systematic_review)
investigated the effects of educational games for
mental health students:
Current very limited evidence suggests educational games could help mental health students gain more points in their tests, especially if they have left revision to the last minute. The one salient study should be refined and repeated.","2017-10-03 13:34:38"
"Co-design activity 1_Group 4","Co-design activity 1_Group 4","1","Students can use of the screen and it will capture eye movements, engaging in Gaze Interaction,to assess how students learn by getting details.","2017-10-03 13:41:07"
